date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:47	297835/297835	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Sep%202017%2008:17:15%20GMT	http://localhost:8000/static/media/uploads/%e0%a6%95%e0%a7%83%e0%a6%b7%e0%a6%95_%e0%a6%a8%e0%a7%87%e0%a6%a4%e0%a7%83%e0%a6%a4%e0%a7%8d%e0%a6%ac%e0%a7%87_%e0%a6%86%e0%a6%ae%e0%a6%a8_%e0%a6%a7%e0%a6%be%e0%a6%a8%e0%a7%87%e0%a6%b0_%e0%a6%ac%e0%a7%80%e0%a6%9c%e0%a6%a4%e0%a6%b2%e0%a6%be.jpg	/home/utsargo/websites/locosbd/localhost_8000/static/media/uploads/%e0%a6%95%e0%a7%83%e0%a6%b7%e0%a6%95_%e0%a6%a8%e0%a7%87%e0%a6%a4%e0%a7%83%e0%a6%a4%e0%a7%8d%e0%a6%ac%e0%a7%87_%e0%a6%86%e0%a6%ae%e0%a6%a8_%e0%a6%a7%e0%a6%be%e0%a6%a8%e0%a7%87%e0%a6%b0_%e0%a6%ac%e0%a7%80%e0%a6%9c%e0%a6%a4%e0%a6%b2%e0%a6%be.jpg	(from http://localhost:8000/blog/category/projects/?page=2)
11:46:47	16404/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:46%20GMT	http://localhost:8000/blog/author/utsargo/	/home/utsargo/websites/locosbd/localhost_8000/blog/author/utsargo/index.html	(from http://localhost:8000/blog/category/projects/)
11:46:48	14715/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:47%20GMT	http://localhost:8000/blog/up-scaling-managed-aquifer-recharge-for-providing-community-water-supply-in-saline-areas/	/home/utsargo/websites/locosbd/localhost_8000/blog/up-scaling-managed-aquifer-recharge-for-providing-community-water-supply-in-saline-areas/index.html	(from http://localhost:8000/blog/category/projects/)
11:46:48	15308/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:48%20GMT	http://localhost:8000/blog/farmers-led-agricultural-development-program/	/home/utsargo/websites/locosbd/localhost_8000/blog/farmers-led-agricultural-development-program/index.html	(from http://localhost:8000/blog/category/projects/)
11:46:49	16707/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:49%20GMT	http://localhost:8000/blog/category/projects/?page=1	/home/utsargo/websites/locosbd/localhost_8000/blog/category/projects/index2679.html	(from http://localhost:8000/blog/category/projects/)
11:46:50	15540/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:46:49%20GMT	http://localhost:8000/blog/action-for-the-participatory-and-comprehensive-disaster-risk-reduction-apcdrr/	/home/utsargo/websites/locosbd/localhost_8000/blog/action-for-the-participatory-and-comprehensive-disaster-risk-reduction-apcdrr/index.html	(from http://localhost:8000/blog/farmers-led-agricultural-development-program/)
11:46:54	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/fontawesome-webfont.eot?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.eot	(from http://localhost:8000/static/css/font-awesome.css)
11:46:54	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/fontawesome-webfont.svg?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.svg	(from http://localhost:8000/static/css/font-awesome.css)
11:46:56	38205/38205	URF---	200	added ('OK%20(cached)')	application/eot		http://localhost:8000/static/fonts/fontawesome-webfont.eot?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.eot	(from http://localhost:8000/static/css/font-awesome.css)
11:46:57	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/fontawesome-webfont.eot?	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontd41d.eot	(from http://localhost:8000/static/css/font-awesome.css)
11:46:59	44432/44432	---M--	200	added ('OK')	application/font-woff	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/fontawesome-webfont.woff?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.woff	(from http://localhost:8000/static/css/font-awesome.css)
11:47:01	33068/33068	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/customicon/Icons.eot	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.eot	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:02	162802/162802	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/customicon/Icons.svg	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.svg	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:03	38205/38205	URF---	200	added ('OK%20(cached)')	application/eot		http://localhost:8000/static/fonts/fontawesome-webfont.eot?	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontd41d.eot	(from http://localhost:8000/static/css/font-awesome.css)
11:47:03	44432/44432	URF---	200	added ('OK%20(cached)')	application/woff		http://localhost:8000/static/fonts/fontawesome-webfont.woff?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.woff	(from http://localhost:8000/static/css/font-awesome.css)
11:47:04	33068/33068	URF---	200	added ('OK%20(cached)')	application/eot		http://localhost:8000/static/fonts/customicon/Icons.eot	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.eot	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:06	32912/32912	---M--	200	added ('OK')	application/font-sfnt	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/customicon/Icons.ttf	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.ttf	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:06	32912/32912	URF---	200	added ('OK%20(cached)')	application/ttf		http://localhost:8000/static/fonts/customicon/Icons.ttf	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.ttf	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:07	80652/80652	---M--	200	added ('OK')	application/font-sfnt	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/fontawesome-webfont.ttf?v=4.0.3	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/fontawesome-webfontba72.ttf	(from http://localhost:8000/static/css/font-awesome.css)
11:47:07	51468/51468	---M--	200	added ('OK')	application/font-woff	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/customicon/Icons.woff	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Icons.woff	(from http://localhost:8000/static/css/custom-fonts.css)
11:47:07	33068/33068	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/fonts/customicon/Icons.eot?	/home/utsargo/websites/locosbd/localhost_8000/static/fonts/customicon/Iconsd41d.eot	(from http://localhost:8000/static/css/custom-fonts.css)
